row_ID,sample_ID,collection_datetime_UTC,variable,value,units,censor_code
89,7,9/2/1980 12:45,NO3,0.6,mg N/L,
98,7,9/2/1980 12:45,NH4,0.44,mg N/L,
83,7,9/2/1980 12:45,pH as H+,1.510721939,mol/L,
84,7,9/2/1980 12:45,pH,4.53,standard units,
85,7,9/2/1980 12:45,Precip,1.6,in,
86,7,9/2/1980 12:45,Precip,1.6,in,
90,7,9/2/1980 12:45,Na,0.21,mg/L,
91,7,9/2/1980 12:45,Mg,0.03,mg/L,
92,7,9/2/1980 12:45,K,0.05,mg/L,
93,7,9/2/1980 12:45,SpCond,53,us/cm,
96,7,9/2/1980 12:45,Ca,0.34,mg/L,
97,7,9/2/1980 12:45,BktVol,2600,mL,
87,7,9/2/1980 12:45,Pb,17,ug/L,
107,8,9/3/1980 7:33,NH4,0.33,mg N/L,
111,8,9/3/1980 7:33,NO3,0.4,mg N/L,
99,8,9/3/1980 7:33,pH,4.85,standard units,
103,8,9/3/1980 7:33,SKN,0.26,mg/L,
104,8,9/3/1980 7:33,pH as H+,1.578978705,mol/L,
105,8,9/3/1980 7:33,Precip,0.45,in,
108,8,9/3/1980 7:33,Na,0.25,mg/L,
110,8,9/3/1980 7:33,SpCond,53,us/cm,
112,8,9/3/1980 7:33,BktVol,770,mL,
100,8,9/3/1980 7:33,TSP,6,ug P/L,
109,8,9/3/1980 7:33,MRP,6,ug P/L,
121,9,9/24/1980 18:30,NO3,0.55,mg N/L,
127,9,9/24/1980 18:30,NO3,0.69,mg N/L,
129,9,9/24/1980 18:30,NH4,0.24,mg N/L,
130,9,9/24/1980 18:30,NH4,0.2,mg N/L,
115,9,9/24/1980 18:30,Precip,0.96,in,
116,9,9/24/1980 18:30,pH,4,standard units,
117,9,9/24/1980 18:30,pH as H+,1.386294361,mol/L,
118,9,9/24/1980 18:30,SKN,0.22,mg/L,
120,9,9/24/1980 18:30,SOC,1,mg/L,
122,9,9/24/1980 18:30,TOC,1,mg/L,
126,9,9/24/1980 18:30,SKN,0.34,mg/L,
128,9,9/24/1980 18:30,Precip,0.96,in,
131,9,9/24/1980 18:30,Ca,0.32,mg/L,
132,9,9/24/1980 18:30,Ca,0.5,mg/L,
135,9,9/24/1980 18:30,SpCond,57,us/cm,
136,9,9/24/1980 18:30,K,0.11,mg/L,
137,9,9/24/1980 18:30,BktVol,2080,mL,
138,9,9/24/1980 18:30,Mg,0.02,mg/L,
139,9,9/24/1980 18:30,Mg,0.05,mg/L,
141,9,9/24/1980 18:30,Na,0.27,mg/L,
142,9,9/24/1980 18:30,Na,0.25,mg/L,
143,9,9/24/1980 18:30,K,0.05,mg/L,
125,9,9/24/1980 18:30,TSP,2,ug P/L,
140,9,9/24/1980 18:30,MRP,2,ug P/L,
113,9,9/24/1980 18:30,Pb,9,ug/L,
114,9,9/24/1980 18:30,Pb,10,ug/L,
158,10,9/26/1980 15:40,NO3,0.3,mg N/L,
160,10,9/26/1980 15:40,NH4,0.065,mg N/L,
172,10,9/26/1980 15:40,NH4,0.091,mg N/L,
174,10,9/26/1980 15:40,NO3,0.4,mg N/L,
145,10,9/26/1980 15:40,Precip,1.41,in,
146,10,9/26/1980 15:40,Precip,1.41,in,
148,10,9/26/1980 15:40,pH,4.3,standard units,
149,10,9/26/1980 15:40,pH as H+,1.458615023,mol/L,
150,10,9/26/1980 15:40,SOC,1,mg/L,
151,10,9/26/1980 15:40,SKN,0.13,mg/L,
153,10,9/26/1980 15:40,TOC,1,mg/L,
157,10,9/26/1980 15:40,SKN,0.12,mg/L,
159,10,9/26/1980 15:40,Mg,0.05,mg/L,
161,10,9/26/1980 15:40,BktVol,2530,mL,
162,10,9/26/1980 15:40,Ca,0.06,mg/L,
163,10,9/26/1980 15:40,Ca,0.25,mg/L,
165,10,9/26/1980 15:40,SpCond,31,us/cm,
166,10,9/26/1980 15:40,K,0.04,mg/L,
168,10,9/26/1980 15:40,Mg,0.01,mg/L,
170,10,9/26/1980 15:40,Na,0.23,mg/L,
171,10,9/26/1980 15:40,Na,0.25,mg/L,
173,10,9/26/1980 15:40,K,0.05,mg/L,
147,10,9/26/1980 15:40,TSP,3,ug P/L,
169,10,9/26/1980 15:40,MRP,3,ug P/L,
144,10,9/26/1980 15:40,Pb,10,ug/L,
156,10,9/26/1980 15:40,Pb,5,ug/L,
175,11,10/24/1980 18:00,NH4,0.17,mg N/L,
179,11,10/24/1980 18:00,NO3,0.58,mg N/L,
177,11,10/24/1980 18:00,SKN,0.24,mg/L,
180,11,10/24/1980 18:00,Na,0.14,mg/L,
181,11,10/24/1980 18:00,K,0.07,mg/L,
183,11,10/24/1980 18:00,Ca,0.33,mg/L,
184,11,10/24/1980 18:00,Mg,0.07,mg/L,
178,11,10/24/1980 18:00,Pb,14,ug/L,
199,12,10/26/1980 18:00,NO3,0.07,mg N/L,
201,12,10/26/1980 18:00,NH4,0.048,mg N/L,
208,12,10/26/1980 18:00,NO3,0.13,mg N/L,
214,12,10/26/1980 18:00,NH4,0.005,mg N/L,
186,12,10/26/1980 18:00,Precip,1.45,in,
187,12,10/26/1980 18:00,Precip,1.45,in,
188,12,10/26/1980 18:00,pH,5.4,standard units,
189,12,10/26/1980 18:00,pH as H+,1.686398954,mol/L,
190,12,10/26/1980 18:00,SKN,0.11,mg/L,
191,12,10/26/1980 18:00,SOC,0.5,mg/L,
193,12,10/26/1980 18:00,TOC,1,mg/L,
198,12,10/26/1980 18:00,SKN,0.1,mg/L,
202,12,10/26/1980 18:00,BktVol,2485,mL,
203,12,10/26/1980 18:00,Ca,0.21,mg/L,
204,12,10/26/1980 18:00,Ca,0.025,mg/L,
206,12,10/26/1980 18:00,SpCond,11,us/cm,
207,12,10/26/1980 18:00,K,0.1,mg/L,
209,12,10/26/1980 18:00,Mg,0.07,mg/L,
210,12,10/26/1980 18:00,Mg,0.05,mg/L,
212,12,10/26/1980 18:00,Na,0.28,mg/L,
213,12,10/26/1980 18:00,Na,0.5,mg/L,
215,12,10/26/1980 18:00,K,0.05,mg/L,
196,12,10/26/1980 18:00,TSP,3,ug P/L,
211,12,10/26/1980 18:00,MRP,3,ug P/L,
185,12,10/26/1980 18:00,Pb,10,ug/L,
197,12,10/26/1980 18:00,Pb,12,ug/L,
220,13,11/12/1980 18:45,NO3,0.18,mg N/L,
221,13,11/12/1980 18:45,NO3,0.78,mg N/L,
222,13,11/12/1980 18:45,NH4,0.48,mg N/L,
216,13,11/12/1980 18:45,pH as H+,1.722766598,mol/L,
217,13,11/12/1980 18:45,pH,5.6,standard units,
218,13,11/12/1980 18:45,Precip,0.75,in,
223,13,11/12/1980 18:45,Precip,0.75,in,
224,13,11/12/1980 18:45,Mg,0.09,mg/L,
226,13,11/12/1980 18:45,SpCond,14,us/cm,
230,13,11/12/1980 18:45,BktVol,1177,mL,
231,13,11/12/1980 18:45,Na,0.35,mg/L,
219,13,11/12/1980 18:45,Pb,7,ug/L,
238,14,11/26/1980 14:00,NO3,0.18,mg N/L,
233,14,11/26/1980 14:00,pH as H+,1.611435915,mol/L,
234,14,11/26/1980 14:00,pH,5.01,standard units,
235,14,11/26/1980 14:00,Precip,1.31,in,
236,14,11/26/1980 14:00,SpCond,20,us/cm,
247,15,12/1/1980 13:30,NO3,0.27,mg N/L,
248,15,12/1/1980 13:30,NO3,0.05,mg N/L,
250,15,12/1/1980 13:30,NH4,0.03,mg N/L,
241,15,12/1/1980 13:30,SKN,0.17,mg/L,
242,15,12/1/1980 13:30,pH as H+,1.504077397,mol/L,
243,15,12/1/1980 13:30,pH,4.5,standard units,
244,15,12/1/1980 13:30,Precip,0.8,in,
245,15,12/1/1980 13:30,Precip,0.8,in,
249,15,12/1/1980 13:30,Na,0.02,mg/L,
251,15,12/1/1980 13:30,BktVol,1400,mL,
252,15,12/1/1980 13:30,Ca,0.6,mg/L,
254,15,12/1/1980 13:30,Mg,0.41,mg/L,
255,15,12/1/1980 13:30,SpCond,13,us/cm,
256,15,12/1/1980 13:30,K,0.05,mg/L,
246,15,12/1/1980 13:30,Pb,9,ug/L,
262,16,12/3/1980 19:45,NO3,0.67,mg N/L,
263,16,12/3/1980 19:45,NH4,0.28,mg N/L,
259,16,12/3/1980 19:45,pH as H+,1.547562509,mol/L,
260,16,12/3/1980 19:45,pH,4.7,standard units,
264,16,12/3/1980 19:45,SKN,0.4,mg/L,
265,16,12/3/1980 19:45,Mg,0.04,mg/L,
266,16,12/3/1980 19:45,K,0.87,mg/L,
267,16,12/3/1980 19:45,SpCond,38,us/cm,
269,16,12/3/1980 19:45,Ca,0.33,mg/L,
261,16,12/3/1980 19:45,Pb,20,ug/L,
276,17,12/17/1980 18:45,NO3,0.75,mg N/L,
277,17,12/17/1980 18:45,NH4,0.1,mg N/L,
272,17,12/17/1980 18:45,SKN,0.26,mg/L,
273,17,12/17/1980 18:45,pH as H+,1.467874348,mol/L,
274,17,12/17/1980 18:45,pH,4.34,standard units,
278,17,12/17/1980 18:45,Mg,0.17,mg/L,
279,17,12/17/1980 18:45,K,0.05,mg/L,
280,17,12/17/1980 18:45,SpCond,27,us/cm,
281,17,12/17/1980 18:45,Ca,0.66,mg/L,
282,17,12/17/1980 18:45,Na,0.34,mg/L,
275,17,12/17/1980 18:45,Pb,22,ug/L,
285,18,1/19/1981 14:15,NO2,0.17,mg N/L,
290,18,1/19/1981 14:15,NH4,1.5,mg N/L,
286,18,1/19/1981 14:15,SKN,0.28,mg/L,
287,18,1/19/1981 14:15,pH as H+,1.486139696,mol/L,
288,18,1/19/1981 14:15,pH,4.42,standard units,
291,18,1/19/1981 14:15,K,0.06,mg/L,
292,18,1/19/1981 14:15,Ca,0.64,mg/L,
293,18,1/19/1981 14:15,Mg,0.04,mg/L,
294,18,1/19/1981 14:15,SpCond,38,us/cm,
303,19,2/3/1981 13:30,NO3,0.22,mg N/L,
311,19,2/3/1981 13:30,NO3,0.27,mg N/L,
312,19,2/3/1981 13:30,NH4,0.086,mg N/L,
317,19,2/3/1981 13:30,NO2,0.03,mg N/L,
325,19,2/3/1981 13:30,NH4,0.43,mg N/L,
298,19,2/3/1981 13:30,Precip,2.38,in,
299,19,2/3/1981 13:30,Precip,2.38,in,
300,19,2/3/1981 13:30,pH,4.6,standard units,
301,19,2/3/1981 13:30,pH as H+,1.526056303,mol/L,
302,19,2/3/1981 13:30,SKN,0.17,mg/L,
305,19,2/3/1981 13:30,TOC,2,mg/L,
309,19,2/3/1981 13:30,SKN,0.22,mg/L,
310,19,2/3/1981 13:30,SOC,1,mg/L,
313,19,2/3/1981 13:30,BktVol,3500,mL,
314,19,2/3/1981 13:30,Ca,0.25,mg/L,
315,19,2/3/1981 13:30,Ca,0.8,mg/L,
318,19,2/3/1981 13:30,SpCond,32,us/cm,
320,19,2/3/1981 13:30,K,0.05,mg/L,
321,19,2/3/1981 13:30,Mg,0.07,mg/L,
322,19,2/3/1981 13:30,Mg,0.1,mg/L,
324,19,2/3/1981 13:30,Na,0.5,mg/L,
326,19,2/3/1981 13:30,K,0.09,mg/L,
308,19,2/3/1981 13:30,TSP,6,ug P/L,
323,19,2/3/1981 13:30,MRP,4,ug P/L,
296,19,2/3/1981 13:30,Pb,0.5,ug/L,
297,19,2/3/1981 13:30,Pb,5,ug/L,
331,20,2/10/1981 13:30,NO2,0.13,mg N/L,
332,20,2/10/1981 13:30,NO3,0.7,mg N/L,
338,20,2/10/1981 13:30,NH4,0.47,mg N/L,
328,20,2/10/1981 13:30,SKN,0.22,mg/L,
329,20,2/10/1981 13:30,pH as H+,1.504077397,mol/L,
330,20,2/10/1981 13:30,pH,4.5,standard units,
333,20,2/10/1981 13:30,Mg,0.05,mg/L,
334,20,2/10/1981 13:30,K,0.24,mg/L,
335,20,2/10/1981 13:30,SpCond,26,us/cm,
337,20,2/10/1981 13:30,Ca,0.04,mg/L,
353,21,2/12/1981 15:15,NO3,0.29,mg N/L,
354,21,2/12/1981 15:15,NO3,0.16,mg N/L,
362,21,2/12/1981 15:15,NH4,1.4,mg N/L,
363,21,2/12/1981 15:15,NH4,0.14,mg N/L,
364,21,2/12/1981 15:15,NO2,0.07,mg N/L,
339,21,2/12/1981 15:15,Precip,1.28,in,
340,21,2/12/1981 15:15,pH,4.4,standard units,
341,21,2/12/1981 15:15,pH as H+,1.481604541,mol/L,
342,21,2/12/1981 15:15,SKN,0.14,mg/L,
343,21,2/12/1981 15:15,SKN,0.2,mg/L,
346,21,2/12/1981 15:15,TOC,1,mg/L,
350,21,2/12/1981 15:15,SOC,1,mg/L,
352,21,2/12/1981 15:15,Precip,1.28,in,
355,21,2/12/1981 15:15,BktVol,2070,mL,
356,21,2/12/1981 15:15,Ca,0.12,mg/L,
358,21,2/12/1981 15:15,SpCond,28,us/cm,
360,21,2/12/1981 15:15,Mg,0.26,mg/L,
365,21,2/12/1981 15:15,K,0.09,mg/L,
349,21,2/12/1981 15:15,TSP,5,ug P/L,
361,21,2/12/1981 15:15,MRP,5,ug P/L,
345,21,2/12/1981 15:15,Pb,5,ug/L,
351,21,2/12/1981 15:15,Pb,10,ug/L,
380,22,2/12/1981 16:30,NO3,0.3,mg N/L,
387,22,2/12/1981 16:30,NO3,0.16,mg N/L,
388,22,2/12/1981 16:30,NH4,1.5,mg N/L,
389,22,2/12/1981 16:30,NH4,0.13,mg N/L,
390,22,2/12/1981 16:30,NO2,0.1,mg N/L,
366,22,2/12/1981 16:30,SKN,0.23,mg/L,
367,22,2/12/1981 16:30,Precip,1.28,in,
368,22,2/12/1981 16:30,pH,4.88,standard units,
369,22,2/12/1981 16:30,pH as H+,1.58514522,mol/L,
370,22,2/12/1981 16:30,SKN,0.15,mg/L,
371,22,2/12/1981 16:30,Precip,1.28,in,
373,22,2/12/1981 16:30,TOC,1,mg/L,
377,22,2/12/1981 16:30,SOC,1,mg/L,
381,22,2/12/1981 16:30,BktVol,1800,mL,
382,22,2/12/1981 16:30,Ca,0.04,mg/L,
384,22,2/12/1981 16:30,SpCond,32,us/cm,
385,22,2/12/1981 16:30,K,0.1,mg/L,
391,22,2/12/1981 16:30,Mg,0.18,mg/L,
376,22,2/12/1981 16:30,TSP,5,ug P/L,
379,22,2/12/1981 16:30,MRP,4,ug P/L,
378,22,2/12/1981 16:30,Pb,20,ug/L,
407,23,2/23/1981 13:30,NO3,0.16,mg N/L,
408,23,2/23/1981 13:30,NO2,0.04,mg N/L,
409,23,2/23/1981 13:30,NH4,0.045,mg N/L,
410,23,2/23/1981 13:30,NH4,0.23,mg N/L,
418,23,2/23/1981 13:30,NO3,0.16,mg N/L,
392,23,2/23/1981 13:30,SKN,0.1,mg/L,
393,23,2/23/1981 13:30,Precip,1.09,in,
394,23,2/23/1981 13:30,pH,4.87,standard units,
395,23,2/23/1981 13:30,pH as H+,1.583093937,mol/L,
396,23,2/23/1981 13:30,SKN,0.076,mg/L,
399,23,2/23/1981 13:30,TOC,1,mg/L,
402,23,2/23/1981 13:30,Precip,1.09,in,
403,23,2/23/1981 13:30,SOC,1,mg/L,
412,23,2/23/1981 13:30,Mg,0.22,mg/L,
413,23,2/23/1981 13:30,K,0.02,mg/L,
414,23,2/23/1981 13:30,SpCond,10,us/cm,
416,23,2/23/1981 13:30,Ca,0.1,mg/L,
417,23,2/23/1981 13:30,BktVol,1860,mL,
397,23,2/23/1981 13:30,TSP,4,ug P/L,
411,23,2/23/1981 13:30,MRP,2,ug P/L,
404,23,2/23/1981 13:30,Pb,12,ug/L,
405,23,2/23/1981 13:30,Pb,5,ug/L,
433,24,2/26/1981 16:00,NO3,0.14,mg N/L,
435,24,2/26/1981 16:00,NO2,0.02,mg N/L,
437,24,2/26/1981 16:00,NO3,0.14,mg N/L,
447,24,2/26/1981 16:00,NH4,0.1,mg N/L,
448,24,2/26/1981 16:00,NH4,0.043,mg N/L,
419,24,2/26/1981 16:00,pH,4.75,standard units,
420,24,2/26/1981 16:00,Precip,1.66,in,
423,24,2/26/1981 16:00,pH as H+,1.558144618,mol/L,
424,24,2/26/1981 16:00,Precip,1.66,in,
425,24,2/26/1981 16:00,SKN,0.1,mg/L,
427,24,2/26/1981 16:00,SOC,1,mg/L,
429,24,2/26/1981 16:00,TOC,1,mg/L,
432,24,2/26/1981 16:00,SKN,0.076,mg/L,
434,24,2/26/1981 16:00,Ca,0.5,mg/L,
436,24,2/26/1981 16:00,BktVol,2820,mL,
440,24,2/26/1981 16:00,SpCond,10,us/cm,
441,24,2/26/1981 16:00,K,0.01,mg/L,
442,24,2/26/1981 16:00,Ca,0.04,mg/L,
443,24,2/26/1981 16:00,Mg,0.06,mg/L,
444,24,2/26/1981 16:00,Mg,0.05,mg/L,
446,24,2/26/1981 16:00,Na,0.25,mg/L,
449,24,2/26/1981 16:00,K,0.05,mg/L,
426,24,2/26/1981 16:00,TSP,4,ug P/L,
445,24,2/26/1981 16:00,MRP,4,ug P/L,
421,24,2/26/1981 16:00,Pb,6,ug/L,
422,24,2/26/1981 16:00,Pb,5,ug/L,
464,25,4/2/1981 12:30,NO3,0.51,mg N/L,
472,25,4/2/1981 12:30,NH4,0.14,mg N/L,
473,25,4/2/1981 12:30,NH4,0.3,mg N/L,
474,25,4/2/1981 12:30,NO2,0.27,mg N/L,
475,25,4/2/1981 12:30,NO3,0.51,mg N/L,
450,25,4/2/1981 12:30,Precip,1.24,in,
451,25,4/2/1981 12:30,pH,4.2,standard units,
452,25,4/2/1981 12:30,pH as H+,1.435084525,mol/L,
453,25,4/2/1981 12:30,SKN,0.23,mg/L,
454,25,4/2/1981 12:30,SKN,0.4,mg/L,
457,25,4/2/1981 12:30,TOC,2,mg/L,
461,25,4/2/1981 12:30,SOC,2,mg/L,
463,25,4/2/1981 12:30,Precip,1.24,in,
465,25,4/2/1981 12:30,BktVol,2040,mL,
468,25,4/2/1981 12:30,SpCond,34,us/cm,
469,25,4/2/1981 12:30,K,0.07,mg/L,
470,25,4/2/1981 12:30,Ca,0.44,mg/L,
476,25,4/2/1981 12:30,Mg,0.05,mg/L,
459,25,4/2/1981 12:30,TSP,10,ug P/L,
471,25,4/2/1981 12:30,MRP,7,ug P/L,
460,25,4/2/1981 12:30,Pb,5,ug/L,
462,25,4/2/1981 12:30,Pb,13,ug/L,
488,26,4/15/1981 19:45,NO3,0.77,mg N/L,
490,26,4/15/1981 19:45,NO3,0.47,mg N/L,
491,26,4/15/1981 19:45,NO2,0.39,mg N/L,
492,26,4/15/1981 19:45,NH4,0.39,mg N/L,
477,26,4/15/1981 19:45,pH as H+,1.410986974,mol/L,
478,26,4/15/1981 19:45,SKN,1,mg/L,
479,26,4/15/1981 19:45,SKN,0.48,mg/L,
480,26,4/15/1981 19:45,SOC,2,mg/L,
482,26,4/15/1981 19:45,TOC,4,mg/L,
485,26,4/15/1981 19:45,pH,4.1,standard units,
487,26,4/15/1981 19:45,Precip,1.03,in,
494,26,4/15/1981 19:45,SpCond,53,us/cm,
497,26,4/15/1981 19:45,BktVol,915,mL,
498,26,4/15/1981 19:45,Precip,1.03,in,
484,26,4/15/1981 19:45,TSP,16,ug P/L,
493,26,4/15/1981 19:45,MRP,7,ug P/L,
489,26,4/15/1981 19:45,Pb,20,ug/L,
506,27,4/21/1981 13:30,NO3,0.73,mg N/L,
507,27,4/21/1981 13:30,NO2,0.49,mg N/L,
511,27,4/21/1981 13:30,NO3,0.7,mg N/L,
499,27,4/21/1981 13:30,Precip,0.56,in,
501,27,4/21/1981 13:30,SKN,0.91,mg/L,
502,27,4/21/1981 13:30,pH as H+,1.386294361,mol/L,
504,27,4/21/1981 13:30,Precip,0.56,in,
505,27,4/21/1981 13:30,pH,4,standard units,
508,27,4/21/1981 13:30,SpCond,52,us/cm,
510,27,4/21/1981 13:30,BktVol,550,mL,
525,28,5/12/1981 12:45,NO3,0.32,mg N/L,
526,28,5/12/1981 12:45,NO3,0.27,mg N/L,
534,28,5/12/1981 12:45,NH4,0.18,mg N/L,
535,28,5/12/1981 12:45,NO2,0.21,mg N/L,
512,28,5/12/1981 12:45,Precip,1.73,in,
513,28,5/12/1981 12:45,pH,4.6,standard units,
514,28,5/12/1981 12:45,SKN,0.5,mg/L,
515,28,5/12/1981 12:45,SKN,0.19,mg/L,
516,28,5/12/1981 12:45,TOC,1,mg/L,
518,28,5/12/1981 12:45,Precip,1.73,in,
522,28,5/12/1981 12:45,SOC,1,mg/L,
524,28,5/12/1981 12:45,pH as H+,1.526056303,mol/L,
527,28,5/12/1981 12:45,BktVol,3420,mL,
528,28,5/12/1981 12:45,Ca,0.25,mg/L,
529,28,5/12/1981 12:45,SpCond,23,us/cm,
530,28,5/12/1981 12:45,K,0.1,mg/L,
533,28,5/12/1981 12:45,Na,0.25,mg/L,
536,28,5/12/1981 12:45,Mg,0.1,mg/L,
521,28,5/12/1981 12:45,TSP,10,ug P/L,
532,28,5/12/1981 12:45,MRP,9,ug P/L,
523,28,5/12/1981 12:45,Pb,20,ug/L,
548,29,5/13/1981 12:15,NO3,0.17,mg N/L,
550,29,5/13/1981 12:15,NO3,0.19,mg N/L,
552,29,5/13/1981 12:15,NH4,0.16,mg N/L,
553,29,5/13/1981 12:15,NO2,0.15,mg N/L,
565,29,5/13/1981 12:15,NH4,0.2,mg N/L,
537,29,5/13/1981 12:15,pH,4.47,standard units,
540,29,5/13/1981 12:15,Precip,1.7,in,
541,29,5/13/1981 12:15,Precip,1.7,in,
542,29,5/13/1981 12:15,pH as H+,1.497388409,mol/L,
544,29,5/13/1981 12:15,SOC,1,mg/L,
546,29,5/13/1981 12:15,TOC,1,mg/L,
549,29,5/13/1981 12:15,SKN,0.48,mg/L,
554,29,5/13/1981 12:15,BktVol,1980,mL,
555,29,5/13/1981 12:15,Ca,0.25,mg/L,
558,29,5/13/1981 12:15,SpCond,22,us/cm,
559,29,5/13/1981 12:15,Ca,0.27,mg/L,
560,29,5/13/1981 12:15,K,0.1,mg/L,
561,29,5/13/1981 12:15,Mg,0.16,mg/L,
562,29,5/13/1981 12:15,Mg,0.05,mg/L,
564,29,5/13/1981 12:15,Na,0.25,mg/L,
566,29,5/13/1981 12:15,K,0.1,mg/L,
545,29,5/13/1981 12:15,TSP,12,ug P/L,
563,29,5/13/1981 12:15,MRP,7,ug P/L,
538,29,5/13/1981 12:15,Pb,9,ug/L,
539,29,5/13/1981 12:15,Pb,5,ug/L,
579,30,6/1/1981 13:00,NO3,0.48,mg N/L,
580,30,6/1/1981 13:00,NO3,0.48,mg N/L,
581,30,6/1/1981 13:00,NO2,0.33,mg N/L,
582,30,6/1/1981 13:00,NH4,0.33,mg N/L,
567,30,6/1/1981 13:00,SKN,0.44,mg/L,
568,30,6/1/1981 13:00,SKN,0.5,mg/L,
569,30,6/1/1981 13:00,SOC,1,mg/L,
574,30,6/1/1981 13:00,pH as H+,1.410986974,mol/L,
575,30,6/1/1981 13:00,TOC,1,mg/L,
576,30,6/1/1981 13:00,pH,4.1,standard units,
577,30,6/1/1981 13:00,Precip,0.74,in,
584,30,6/1/1981 13:00,SpCond,46,us/cm,
586,30,6/1/1981 13:00,BktVol,1350,mL,
587,30,6/1/1981 13:00,Precip,0.74,in,
573,30,6/1/1981 13:00,TSP,10,ug P/L,
583,30,6/1/1981 13:00,MRP,2,ug P/L,
578,30,6/1/1981 13:00,Pb,10,ug/L,
602,31,6/9/1981 19:40,NO3,0.54,mg N/L,
609,31,6/9/1981 19:40,NH4,0.12,mg N/L,
610,31,6/9/1981 19:40,NH4,0.34,mg N/L,
611,31,6/9/1981 19:40,NO2,0.39,mg N/L,
613,31,6/9/1981 19:40,NO3,0.59,mg N/L,
588,31,6/9/1981 19:40,Precip,0.79,in,
589,31,6/9/1981 19:40,Precip,0.79,in,
590,31,6/9/1981 19:40,pH,4.17,standard units,
591,31,6/9/1981 19:40,pH as H+,1.427916036,mol/L,
592,31,6/9/1981 19:40,SKN,0.71,mg/L,
593,31,6/9/1981 19:40,SKN,0.5,mg/L,
596,31,6/9/1981 19:40,TOC,2,mg/L,
599,31,6/9/1981 19:40,SOC,1,mg/L,
603,31,6/9/1981 19:40,BktVol,1300,mL,
604,31,6/9/1981 19:40,Ca,0.15,mg/L,
606,31,6/9/1981 19:40,SpCond,34,us/cm,
607,31,6/9/1981 19:40,K,0.08,mg/L,
612,31,6/9/1981 19:40,Mg,0.01,mg/L,
598,31,6/9/1981 19:40,TSP,4,ug P/L,
